category,issue,solution,keywords,priority
networking,wifi_connection,"To connect to the company Wi-Fi:\n1. Click the Wi-Fi icon in your system tray\n2. Look for 'CompanyWiFi' or 'CompanyGuest'\n3. Enter your employee credentials (same as your email login)\n4. If prompted for a certificate, click 'Trust' or 'Accept'\n5. You should be connected automatically after first setup\n\nTroubleshooting:\n- If you can't see the network, make sure Wi-Fi is enabled\n- Try forgetting the network and reconnecting\n- Restart your device if issues persist","wifi,wireless,internet,connection,network,connect",high
networking,vpn_setup,"To set up VPN access:\n1. Download Cisco AnyConnect from the IT Portal\n2. Install the application\n3. Open Cisco AnyConnect\n4. Enter VPN address: vpn.company.com\n5. Use your employee credentials to login\n6. Accept the multi-factor authentication prompt\n\nFor remote work, always connect to VPN before accessing internal resources.","vpn,remote,access,cisco,anyconnect,remote work",high
password,reset_password,"To reset your password:\n1. Visit https://portal.company.com/reset\n2. Enter your employee email address\n3. Click 'Forgot Password'\n4. Check your email for a reset link (valid for 1 hour)\n5. Create a new password meeting these requirements:\n   - At least 12 characters\n   - Mix of uppercase, lowercase, numbers, and symbols\n   - Cannot reuse last 5 passwords\n\nIf you don't receive the email within 5 minutes, check your spam folder or contact IT at x5555.","password,reset,forgot,change password,locked out,login",high
password,account_locked,"If your account is locked:\n1. Wait 30 minutes for automatic unlock (after 5 failed attempts)\n2. OR call IT Support immediately at x5555 for manual unlock\n3. Once unlocked, reset your password if you've forgotten it\n\nPrevent lockouts:\n- Don't share your password\n- Use password manager\n- Update saved passwords on all devices after changing","locked,account locked,locked out,access denied,too many attempts",high
software,teams_installation,"To install Microsoft Teams:\n1. Visit the IT Portal (portal.company.com)\n2. Navigate to 'Software' > 'Approved Applications'\n3. Click 'Microsoft Teams' and download\n4. Run the installer\n5. Sign in with your company email\n6. Teams will sync your contacts and channels automatically\n\nFor issues:\n- Ensure you have admin rights (or request installation via IT Portal)\n- Clear old versions before installing\n- Restart after installation","teams,microsoft teams,install,download,collaboration,chat",medium
software,office_activation,"To activate Microsoft Office:\n1. Open any Office application (Word, Excel, etc.)\n2. Click 'Sign In' in the top right\n3. Use your company email address\n4. Complete multi-factor authentication\n5. Office will activate automatically\n\nIf activation fails:\n- Check internet connection\n- Sign out and sign back in\n- Contact IT if you see 'Product Unlicensed'","office,microsoft office,word,excel,powerpoint,activation,license",medium
audio_video,zoom_audio_not_working,"If Zoom audio isn't working:\n1. Click the microphone icon in Zoom - ensure it's not muted\n2. Click the arrow next to microphone and select correct device\n3. Go to Settings > Audio and test your speaker/microphone\n4. Check system sound settings:\n   - Windows: Right-click speaker icon > Open Sound Settings\n   - Mac: System Preferences > Sound\n5. Ensure Zoom has microphone permissions\n6. Restart Zoom\n7. Restart your computer if issues persist\n\nCommon causes:\n- Hardware muted (check physical mute button on headset)\n- Wrong input/output device selected\n- Driver issues (update audio drivers)","zoom,audio,microphone,sound,not working,muted,no sound,cant hear",high
audio_video,camera_not_detected,"If your camera isn't detected:\n1. Check if camera is physically connected (external cameras)\n2. Look for camera indicator light\n3. Verify camera permissions:\n   - Windows: Settings > Privacy > Camera\n   - Mac: System Preferences > Security & Privacy > Camera\n4. Enable camera access for your application (Zoom, Teams, etc.)\n5. Update camera drivers:\n   - Windows: Device Manager > Cameras > Update Driver\n   - Mac: Update macOS\n6. Try different USB port (for external cameras)\n7. Restart your device\n\nIf still not working, the camera may be in use by another application.","camera,webcam,video,not detected,not working,zoom,teams,no video",high
audio_video,projector_connection,"To connect to a projector:\n1. Connect HDMI or DisplayPort cable to your laptop\n2. The display should appear automatically\n3. If not, press Windows+P (Windows) or Cmd+F1 (Mac)\n4. Select display mode:\n   - Duplicate: Same content on both screens\n   - Extend: Use projector as second monitor\n5. Adjust resolution if needed in Display Settings\n\nFor wireless projection:\n1. Connect to meeting room Wi-Fi\n2. Open the room's casting app (AirPlay, Miracast, or custom system)\n3. Select the room name\n4. Enter PIN if required (usually displayed on projector)\n\nIssue: 'No Signal'?\n- Check cable connections\n- Try different cable or port\n- Restart laptop while connected","projector,display,presentation,hdmi,screen sharing,no signal,external monitor",high
audio_video,screen_sharing_issues,"If screen sharing isn't working:\n1. Close and restart the video conferencing app\n2. Check app permissions:\n   - Mac: System Preferences > Security > Screen Recording\n   - Windows: Usually no permission needed\n3. In Zoom/Teams, click 'Share Screen'\n4. Select the window or entire screen\n5. Ensure 'Share computer sound' is checked if needed\n\nCommon issues:\n- Black screen: Enable screen recording permissions\n- Lag: Close unnecessary apps, check internet speed\n- Participants can't see: Re-share or restart meeting","screen sharing,share screen,zoom,teams,presentation,black screen",medium
hardware,printer_not_found,"If printer isn't detected:\n1. Ensure printer is on and connected to network\n2. Check printer display for errors\n3. For network printers:\n   - Visit \\\\printserver\\printers (Windows) or use Printer Setup (Mac)\n   - Find your department's printer\n   - Right-click and 'Connect'\n4. For USB printers:\n   - Reconnect USB cable\n   - Install drivers from IT Portal\n5. Restart Print Spooler service (Windows):\n   - Press Win+R, type 'services.msc'\n   - Find 'Print Spooler', right-click, Restart\n6. Clear print queue if stuck\n\nContact IT for printer name/location if unsure.","printer,print,printing,not found,not detected,cant print,paper jam",medium
hardware,keyboard_mouse_issues,"For keyboard/mouse problems:\n1. Check physical connection (USB, wireless receiver)\n2. Try different USB port\n3. For wireless devices:\n   - Replace batteries\n   - Re-pair device using pairing button\n4. Check Device Manager (Windows) for driver issues\n5. Test with another device to rule out hardware failure\n6. Clean keyboard/mouse (especially for stuck keys)\n7. Restart computer\n\nIf company-issued equipment is defective, submit hardware replacement request via IT Portal.","keyboard,mouse,not working,stuck keys,wireless,bluetooth,touchpad,trackpad",medium
hardware,laptop_overheating,"If your laptop is overheating:\n1. Ensure air vents aren't blocked\n2. Use laptop on hard, flat surface (not on bed/couch)\n3. Clean vents with compressed air\n4. Close unnecessary applications\n5. Check Task Manager/Activity Monitor for high CPU usage\n6. Update operating system and drivers\n7. Consider using laptop cooling pad\n\nWarning signs:\n- Fan running loudly constantly\n- Hot to touch\n- Unexpected shutdowns\n- Performance throttling\n\nIf issues persist, request hardware diagnostic via IT Portal.","laptop,overheating,hot,fan,loud,performance,slow,shutting down",medium
